Wall time,Step,Value
1556400148.7709625,3405940,17.360000610351562
1556400331.342949,3418134,16.889999389648438
1556400530.8332024,3431451,16.7450008392334
1556400613.689453,3436986,16.530000686645508
1556400904.4025774,3456557,16.530000686645508
1556401158.4686096,3473628,16.524999618530273
1556401253.9337752,3479846,15.3100004196167
1556401815.0350432,3516645,16.739999771118164
1556401824.121901,3517267,16.55500030517578
1556401966.6231933,3527028,17.924999237060547
1556402109.3116753,3536786,18.229999542236328
1556402363.6359174,3554120,18.3799991607666
1556402982.5836272,3596222,17.78499984741211
1556403090.209128,3603557,18.155000686645508
1556403129.9622314,3606261,18.2549991607666
1556403159.8603873,3608296,18.450000762939453
1556403372.9847243,3622807,17.895000457763672
1556403383.389258,3623516,17.655000686645508
1556403448.6029994,3627957,16.729999542236328
1556404021.7339084,3667131,17.559999465942383
1556404088.8813634,3671704,17.68000030517578
1556404535.8593223,3702041,17.280000686645508
1556404645.9149075,3709493,18.170000076293945
1556405221.7429054,3748682,16.93000030517578
1556405539.825501,3770217,16.875
1556405635.8997777,3776719,17.040000915527344
1556405709.2523003,3781670,17.395000457763672
1556405917.6459382,3795788,17.920000076293945
1556406065.4324732,3805815,18.31999969482422
1556406349.5129163,3825232,17.28499984741211
1556406579.2122073,3840916,17.020000457763672
1556406702.0953023,3849309,16.895000457763672
1556406726.1050556,3850935,17.665000915527344
1556407031.2595465,3871549,17.934999465942383
1556407178.24015,3881457,16.424999237060547
1556407406.3012285,3896847,16.575000762939453
1556407682.234974,3915485,17.049999237060547
1556407693.9511728,3916279,17.815000534057617
1556407841.1971188,3926280,17.520000457763672
1556407906.2826993,3930714,18.05500030517578
1556408079.8940103,3942478,17.520000457763672
1556408780.1024308,3990141,16.809999465942383
1556408921.0771794,3999739,17.389999389648438
1556409055.9877667,4008924,16.19499969482422
1556409311.8926508,4026355,16.530000686645508
1556409362.362476,4029794,17.80500030517578
1556409525.7125955,4040913,17.454999923706055
1556409560.7043288,4043296,18.0
1556409665.3379538,4050425,17.46500015258789
1556409759.218837,4056825,17.71500015258789
1556409768.6117518,4057465,18.114999771118164
1556409851.494484,4063105,16.03499984741211
1556409860.4675145,4063714,16.6299991607666
1556409863.1392913,4063895,16.165000915527344
1556409871.6543992,4064471,15.979999542236328
1556409962.9999518,4070636,16.665000915527344
1556410118.356359,4081149,16.040000915527344
1556410252.5184457,4090240,16.270000457763672
1556410408.6601875,4100867,15.614999771118164
1556410451.3811283,4103783,16.350000381469727
1556410848.8654604,4130880,18.21500015258789
1556410909.3645706,4135002,18.264999389648438
1556411036.0187678,4143615,18.235000610351562
1556411064.8201225,4145556,17.3799991607666
1556411067.2942877,4145722,17.25
1556411195.410929,4154359,17.260000228881836
1556411240.792024,4157421,16.844999313354492
1556411343.6800504,4164371,16.3799991607666
1556411645.0149422,4184742,17.184999465942383
1556411865.6374125,4199637,18.155000686645508
1556412010.6803546,4209422,18.329999923706055
1556412179.1014154,4220822,18.0
1556412660.4763067,4253501,17.905000686645508
1556412776.1304665,4261370,18.15999984741211
1556412788.3831131,4262203,18.075000762939453
1556412828.820031,4264951,18.315000534057617
1556412948.8007545,4273107,18.3799991607666
1556413100.9518452,4283455,17.31999969482422
1556413144.5676305,4286421,16.2549991607666
1556413435.8814209,4306252,17.895000457763672
1556413499.8863742,4310617,17.075000762939453
1556413795.041644,4330739,16.78499984741211
1556413887.6561933,4337048,17.0049991607666
1556414006.3734243,4345140,16.44499969482422
1556414224.5127609,4360059,16.375
1556414800.3654618,4399529,16.94499969482422
1556414802.2409058,4399657,16.8799991607666
1556415248.599949,4430007,18.21500015258789
1556415449.6148486,4443594,16.375
1556416002.4099495,4480847,17.209999084472656
1556416033.3215542,4482928,17.579999923706055
1556416580.4686635,4519931,18.260000228881836
1556416787.082542,4533945,17.8799991607666
1556417059.9834213,4552481,17.364999771118164
1556417132.9523592,4557460,17.0049991607666
1556417158.627462,4559212,17.024999618530273
1556417278.6837528,4567411,18.06999969482422
1556417376.249522,4574074,17.434999465942383
1556417461.177085,4579884,17.829999923706055
1556417782.2606032,4601860,19.19499969482422
1556418018.1525595,4618037,18.53499984741211
1556418279.612191,4635991,18.395000457763672
1556418480.9704983,4649788,18.954999923706055
1556418503.9484787,4651361,19.6299991607666
1556418613.8097558,4658876,19.1299991607666
1556419423.8728075,4714021,17.594999313354492
1556419483.5558758,4718082,17.21500015258789
1556419496.670654,4718976,17.299999237060547
1556419599.294961,4725954,17.325000762939453
1556419627.0701237,4727845,17.290000915527344
1556419845.9267628,4742752,18.065000534057617
1556419910.916304,4747209,18.760000228881836
1556420104.7870553,4760507,18.395000457763672
1556420158.462943,4764180,17.934999465942383
1556420208.7749426,4767623,18.514999389648438
1556420461.282185,4784905,18.375
1556420510.4800167,4788261,18.96500015258789
1556420532.0532167,4789724,18.655000686645508
1556420797.8249342,4807695,18.329999923706055
1556420909.8344646,4815345,18.30500030517578
1556421024.9004264,4823164,18.665000915527344
1556421327.3479154,4843620,17.844999313354492
1556421426.7693756,4850405,18.469999313354492
1556421573.1597245,4860392,18.850000381469727
1556421646.5227225,4865392,18.440000534057617
1556421688.5619698,4868258,19.360000610351562
1556421865.652341,4880340,19.704999923706055
1556421922.2809706,4884204,19.93000030517578
1556421947.932206,4885957,20.174999237060547
1556421971.5663288,4887572,20.344999313354492
1556421987.3015568,4888647,20.075000762939453
1556422319.6540086,4911346,18.579999923706055
1556422326.0400634,4911782,19.290000915527344
1556422329.7940943,4912037,18.709999084472656
1556422528.13123,4925503,18.290000915527344
1556422664.4064937,4934726,18.78499984741211
1556422789.4709349,4943184,18.975000381469727
1556422799.9873078,4943892,18.93000030517578
1556422819.8963819,4945237,17.850000381469727
1556423081.182708,4962980,18.610000610351562
1556423154.238167,4967960,18.934999465942383
1556423188.922608,4970318,19.325000762939453
1556423198.7969131,4970990,19.954999923706055
1556423438.1975322,4987289,19.489999771118164
